freq,dbfs,dbspl,rms,min_amp,max_amp,tag
115.14,-47,80.59,0.0017,-0.0045,0.004,
230.29,-43,82.42,0.0021,-0.007,0.0042,
506.9,-46,81.08,0.0018,-0.0051,0.0034,
230.29,-45,80.59,0.0017,-0.0048,0.0053,
501.14,-48,81.08,0.0018,-0.0042,0.0029,
230.29,-43,82.42,0.0021,-0.0067,0.0048,
230.29,-45,81.55,0.0019,-0.0056,0.0055,
5188.24,-49,78.9,0.0014,-0.0036,0.0031,
345.43,-44,81.08,0.0018,-0.0041,0.0061,
501.14,-48,78.9,0.0014,-0.004,0.0027,
230.29,-45,81.08,0.0018,-0.0039,0.0058,
115.14,-44,82.42,0.0021,-0.0062,0.0054,
512.79,-48,80.06,0.0016,-0.0039,0.0034,
115.14,-45,79.5,0.0015,-0.0045,0.0054,
1013.79,-50,80.06,0.0016,-0.0032,0.0024,
115.14,-42,84.92,0.0028,-0.0075,0.0043,
139.12,-43,84.28,0.0026,-0.0074,0.006,
115.14,-45,81.55,0.0019,-0.0057,0.0048,
345.43,-47,79.5,0.0015,-0.0043,0.0043,
471.66,-46,80.06,0.0016,-0.0044,0.0051,
465.85,-47,80.59,0.0017,-0.0042,0.0043,
506.9,-47,81.08,0.0018,-0.0043,0.003,
115.14,-45,82.42,0.0021,-0.0056,0.0053,
230.29,-47,81.08,0.0018,-0.0047,0.0046,
200.45,-44,81.55,0.0019,-0.0061,0.0046,
230.29,-44,82.42,0.0021,-0.0064,0.0061,
115.14,-46,80.59,0.0017,-0.0041,0.0048,
506.9,-47,80.59,0.0017,-0.0044,0.0042,
501.14,-48,80.06,0.0016,-0.0038,0.0042,
174.31,-45,82.42,0.0021,-0.0058,0.0042,
406.45,-47,80.59,0.0017,-0.0041,0.0044,
115.14,-45,81.55,0.0019,-0.0054,0.0051,
345.43,-45,80.59,0.0017,-0.0039,0.0056,
115.14,-45,81.08,0.0018,-0.004,0.0056,
2534.48,-49,78.26,0.0013,-0.0026,0.0035,
307.32,-44,81.55,0.0019,-0.0044,0.0061,
239.67,-47,79.5,0.0015,-0.0044,0.0029,
115.14,-47,81.55,0.0019,-0.0044,0.0041,
230.29,-44,82.83,0.0022,-0.0061,0.0052,
230.29,-46,80.59,0.0017,-0.005,0.0045,
137.81,-46,81.08,0.0018,-0.0049,0.0044,
230.29,-46,81.55,0.0019,-0.0052,0.0038,
115.14,-46,81.55,0.0019,-0.0047,0.0048,
115.14,-45,81.55,0.0019,-0.0053,0.0054,
506.9,-48,80.59,0.0017,-0.0042,0.0037,
115.14,-44,82.0,0.002,-0.0037,0.0063,
506.9,-49,78.26,0.0013,-0.0037,0.0028,
230.29,-45,80.59,0.0017,-0.0049,0.0056,
230.29,-45,81.55,0.0019,-0.0048,0.0058,
501.14,-46,82.0,0.002,-0.0049,0.0038,
115.14,-44,82.42,0.0021,-0.0065,0.0047,
230.29,-45,81.08,0.0018,-0.0057,0.0036,
115.14,-45,82.42,0.0021,-0.0051,0.0058,
501.14,-48,79.5,0.0015,-0.004,0.0036,
345.43,-45,81.55,0.0019,-0.0056,0.0053,
115.14,-47,80.06,0.0016,-0.0042,0.0046,
621.13,-46,82.0,0.002,-0.0039,0.005,
345.43,-46,80.59,0.0017,-0.0042,0.0048,
506.9,-46,83.94,0.0025,-0.0037,0.005,
115.14,-45,82.0,0.002,-0.0058,0.005,
1002.27,-48,79.5,0.0015,-0.0041,0.003,
345.43,-46,79.5,0.0015,-0.0052,0.0038,
1013.79,-47,80.59,0.0017,-0.0044,0.0026,
230.29,-47,79.5,0.0015,-0.0036,0.0045,
1863.38,-48,78.9,0.0014,-0.0039,0.003,
1036.29,-46,80.59,0.0017,-0.0053,0.0042,
230.29,-46,80.59,0.0017,-0.0039,0.0048,
1013.79,-50,78.9,0.0014,-0.0032,0.0032,
115.14,-44,79.5,0.0015,-0.0035,0.0065,
882.0,-45,83.21,0.0023,-0.0054,0.0032,
115.14,-42,83.21,0.0023,-0.0081,0.0059,
4767.57,-49,79.5,0.0015,-0.0034,0.0032,
230.29,-44,82.0,0.002,-0.0063,0.0064,
115.14,-44,80.59,0.0017,-0.0037,0.0061,
506.9,-48,79.5,0.0015,-0.004,0.0022,
115.14,-45,80.06,0.0016,-0.0057,0.0042,
525.0,-50,78.26,0.0013,-0.0032,0.0031,
230.29,-47,80.59,0.0017,-0.0047,0.0041,
115.14,-46,80.59,0.0017,-0.005,0.0039,
4009.09,-50,78.9,0.0014,-0.0032,0.003,
124.93,-44,82.0,0.002,-0.0049,0.0064,
501.14,-49,80.06,0.0016,-0.0033,0.0035,
230.29,-42,82.83,0.0022,-0.0081,0.0057,
230.29,-45,81.08,0.0018,-0.005,0.0055,
137.81,-44,82.42,0.0021,-0.0045,0.0064,
115.14,-45,82.83,0.0022,-0.0057,0.0041,
506.9,-49,79.5,0.0015,-0.0028,0.0034,
345.43,-44,81.08,0.0018,-0.0036,0.0062,
501.14,-45,83.21,0.0023,-0.0046,0.0055,
230.29,-43,82.42,0.0021,-0.0072,0.0049,
239.67,-45,83.21,0.0023,-0.005,0.0058,
153.66,-47,80.06,0.0016,-0.0045,0.0043,
115.14,-45,81.55,0.0019,-0.0049,0.0059,
506.9,-48,80.06,0.0016,-0.0031,0.0038,
115.14,-45,82.42,0.0021,-0.0049,0.0054,
506.9,-46,82.0,0.002,-0.0035,0.0049,
115.14,-44,82.0,0.002,-0.0051,0.0062,
501.14,-49,80.06,0.0016,-0.0037,0.0034,
348.62,-45,81.55,0.0019,-0.0041,0.0055,
115.14,-46,82.0,0.002,-0.0048,0.0053,
2004.55,-47,79.5,0.0015,-0.0045,0.0026,
115.14,-46,80.06,0.0016,-0.0048,0.0041,
506.9,-48,79.5,0.0015,-0.0034,0.0038,
115.14,-44,82.0,0.002,-0.0053,0.0061,
175.7,-48,78.9,0.0014,-0.0038,0.0037,
400.91,-47,80.59,0.0017,-0.0042,0.0038,
115.14,-44,81.55,0.0019,-0.006,0.0047,
460.57,-46,78.9,0.0014,-0.0034,0.0048,
115.14,-45,82.0,0.002,-0.0058,0.0052,
237.1,-45,82.42,0.0021,-0.0058,0.0051,
1013.79,-46,82.0,0.002,-0.004,0.005,
230.29,-46,81.08,0.0018,-0.0042,0.0049,
139.12,-46,80.59,0.0017,-0.0042,0.0053,
115.14,-42,82.83,0.0022,-0.0063,0.0078,
2027.59,-49,80.06,0.0016,-0.0035,0.0032,
367.5,-45,82.0,0.002,-0.0049,0.0054,
230.29,-46,80.06,0.0016,-0.0047,0.005,
115.14,-45,81.08,0.0018,-0.0057,0.0053,
345.43,-45,80.59,0.0017,-0.0056,0.0046,
501.14,-47,80.06,0.0016,-0.0023,0.0046,
345.43,-47,80.06,0.0016,-0.0045,0.0041,
230.29,-45,80.59,0.0017,-0.0054,0.0055,
115.14,-46,82.0,0.002,-0.0052,0.0047,
506.9,-47,80.59,0.0017,-0.0031,0.0045,
230.29,-45,81.08,0.0018,-0.0046,0.0054,
501.14,-47,81.08,0.0018,-0.0044,0.0043,
230.29,-44,82.0,0.002,-0.0062,0.0037,
506.9,-46,83.58,0.0024,-0.0047,0.0048,
115.14,-45,82.42,0.0021,-0.0054,0.0049,
648.53,-47,82.0,0.002,-0.0045,0.0044,
230.29,-44,81.08,0.0018,-0.0064,0.0042,
345.43,-45,82.42,0.0021,-0.0045,0.0058,
1520.69,-49,78.26,0.0013,-0.0034,0.0031,
345.43,-44,81.55,0.0019,-0.0065,0.004,
345.43,-47,80.59,0.0017,-0.0046,0.0041,
115.14,-42,82.42,0.0021,-0.0059,0.0075,
115.14,-45,79.5,0.0015,-0.0041,0.0054,
115.14,-45,81.55,0.0019,-0.0049,0.0057,
501.14,-45,81.08,0.0018,-0.0054,0.0032,
115.14,-43,82.83,0.0022,-0.0055,0.0069,
115.14,-45,82.42,0.0021,-0.0052,0.0058,
501.14,-44,84.28,0.0026,-0.0061,0.0042,
544.44,-51,78.26,0.0013,-0.0028,0.0029,
345.43,-44,81.08,0.0018,-0.0066,0.0047,
230.29,-47,80.06,0.0016,-0.0046,0.0038,
460.57,-46,80.59,0.0017,-0.0044,0.005,
115.14,-46,81.08,0.0018,-0.0049,0.0047,
501.14,-46,80.06,0.0016,-0.0051,0.0033,
123.88,-46,82.83,0.0022,-0.0048,0.005,
345.43,-45,81.08,0.0018,-0.0056,0.0049,
115.14,-44,82.0,0.002,-0.0042,0.0063,
409.6,-47,79.5,0.0015,-0.0039,0.0045,
115.14,-44,83.21,0.0023,-0.0064,0.006,
230.29,-46,80.59,0.0017,-0.0044,0.005,
115.14,-46,81.08,0.0018,-0.0043,0.0049,
115.14,-45,81.08,0.0018,-0.0038,0.0056,
501.14,-47,80.59,0.0017,-0.0043,0.0027,
345.43,-45,80.59,0.0017,-0.0046,0.0054,
506.9,-47,81.55,0.0019,-0.0046,0.0028,
115.14,-44,81.08,0.0018,-0.0062,0.005,
501.14,-46,82.42,0.0021,-0.0049,0.0038,
689.06,-46,78.9,0.0014,-0.0047,0.0032,
115.14,-43,84.92,0.0028,-0.0073,0.0072,
506.9,-41,86.61,0.0034,-0.0085,0.0055,
115.14,-43,84.61,0.0027,-0.0068,0.0068,
501.14,-48,81.55,0.0019,-0.0042,0.0032,
115.14,-45,81.55,0.0019,-0.0041,0.0058,
1013.79,-46,80.59,0.0017,-0.0033,0.0048,
395.52,-45,81.08,0.0018,-0.0057,0.0042,
115.14,-44,83.21,0.0023,-0.0062,0.005,
115.14,-46,81.55,0.0019,-0.0051,0.0045,
313.88,-46,80.59,0.0017,-0.0049,0.0044,
233.33,-46,82.42,0.0021,-0.0052,0.0045,
230.29,-45,80.59,0.0017,-0.0041,0.0058,
345.43,-44,80.59,0.0017,-0.0061,0.0043,
115.14,-45,82.83,0.0022,-0.0054,0.0052,
506.9,-48,80.59,0.0017,-0.0041,0.0032,
420.0,-47,80.59,0.0017,-0.0042,0.0043,
282.69,-47,79.5,0.0015,-0.0041,0.0042,
230.29,-46,81.08,0.0018,-0.0051,0.0053,
6589.66,-49,77.56,0.0012,-0.0031,0.0036,
345.43,-47,80.59,0.0017,-0.0046,0.0046,
115.14,-43,82.83,0.0022,-0.0068,0.0047,
126.72,-45,82.42,0.0021,-0.0054,0.0049,
115.14,-46,80.59,0.0017,-0.0052,0.0052,
1013.79,-46,79.5,0.0015,-0.0028,0.0053,
115.75,-47,82.0,0.002,-0.0047,0.0045,
230.29,-45,80.59,0.0017,-0.0047,0.0057,
506.9,-49,79.5,0.0015,-0.0033,0.0037,
460.57,-46,80.59,0.0017,-0.0039,0.0048,
230.29,-46,80.06,0.0016,-0.005,0.0038,
506.9,-47,81.55,0.0019,-0.0047,0.0037,
230.29,-47,79.5,0.0015,-0.0047,0.0039,
787.5,-47,82.83,0.0022,-0.0035,0.0046,
506.9,-45,82.42,0.0021,-0.0055,0.0045,
345.43,-44,82.0,0.002,-0.0051,0.006,
2027.59,-47,80.59,0.0017,-0.004,0.0045,
230.29,-46,81.08,0.0018,-0.0048,0.005,
230.29,-45,81.08,0.0018,-0.0055,0.0059,
345.43,-45,81.08,0.0018,-0.0046,0.0054,
115.14,-43,81.55,0.0019,-0.0045,0.007,
1013.79,-46,80.06,0.0016,-0.0027,0.0049,
115.14,-44,84.92,0.0028,-0.0067,0.0063,
501.14,-49,80.06,0.0016,-0.0034,0.0032,
4009.09,-52,79.5,0.0015,-0.0019,0.0025,
345.43,-45,80.06,0.0016,-0.005,0.0054,
345.43,-44,81.55,0.0019,-0.006,0.0043,
506.9,-47,81.08,0.0018,-0.0045,0.0029,
230.29,-43,83.21,0.0023,-0.005,0.0072,
506.9,-48,80.06,0.0016,-0.0032,0.0038,
980.0,-48,82.42,0.0021,-0.0038,0.0038,
115.14,-43,83.94,0.0025,-0.0073,0.0057,
1025.58,-47,82.83,0.0022,-0.0031,0.0047,
115.14,-46,81.08,0.0018,-0.0041,0.0049,
230.29,-46,80.06,0.0016,-0.0049,0.0041,
1002.27,-48,79.5,0.0015,-0.0038,0.0037,
3957.69,-50,78.26,0.0013,-0.0024,0.0033,
115.14,-46,81.08,0.0018,-0.0053,0.0046,
4900.0,-55,75.98,0.001,-0.0012,0.0017,
501.14,-48,78.9,0.0014,-0.004,0.0031,
501.14,-47,81.55,0.0019,-0.0045,0.0031,
794.59,-45,81.55,0.0019,-0.0041,0.0054,
115.14,-44,81.08,0.0018,-0.0061,0.0038,
230.29,-46,80.59,0.0017,-0.0048,0.005,
115.14,-48,79.5,0.0015,-0.004,0.0042,
115.14,-44,82.42,0.0021,-0.0064,0.0055,
230.29,-44,83.94,0.0025,-0.0064,0.0048,
495.51,-47,79.5,0.0015,-0.0029,0.0044,
151.03,-46,82.42,0.0021,-0.0049,0.005,
345.43,-46,80.06,0.0016,-0.0049,0.0041,
501.14,-49,80.06,0.0016,-0.0037,0.0027,
806.01,-46,79.5,0.0015,-0.0048,0.0041,
506.9,-47,82.0,0.002,-0.004,0.0042,
115.14,-45,83.58,0.0024,-0.0056,0.0056,
208.02,-47,79.5,0.0015,-0.0045,0.0045,
170.27,-43,82.0,0.002,-0.0042,0.0073,
230.29,-44,82.42,0.0021,-0.0065,0.0055,
115.14,-43,83.58,0.0024,-0.007,0.005,
230.29,-45,81.08,0.0018,-0.0053,0.0054,
540.0,-44,82.42,0.0021,-0.0064,0.0045,
784.0,-44,81.08,0.0018,-0.0061,0.0038,
345.43,-45,82.42,0.0021,-0.0059,0.0047,
501.14,-45,84.28,0.0026,-0.0053,0.0037,
460.57,-43,81.55,0.0019,-0.0044,0.0067,
158.63,-45,82.0,0.002,-0.0048,0.0055,
506.9,-50,78.9,0.0014,-0.0026,0.0032,
115.14,-43,81.08,0.0018,-0.0068,0.0042,
1036.29,-38,88.24,0.0041,-0.0133,0.0107,
806.01,-39,86.86,0.0035,-0.0112,0.0091,
705.6,-45,82.0,0.002,-0.0057,0.0052,
230.29,-42,84.28,0.0026,-0.007,0.0081,
501.14,-46,81.08,0.0018,-0.0035,0.0049,
115.14,-46,81.08,0.0018,-0.0037,0.005,
1013.79,-48,80.06,0.0016,-0.0039,0.0037,
115.14,-43,83.21,0.0023,-0.007,0.006,
1013.79,-46,81.55,0.0019,-0.0047,0.0044,
465.44,-46,80.06,0.0016,-0.004,0.0047,
479.35,-47,80.59,0.0017,-0.0044,0.0029,
115.14,-46,80.59,0.0017,-0.0052,0.0051,
506.9,-44,84.92,0.0028,-0.006,0.0055,
115.14,-46,81.55,0.0019,-0.0042,0.0052,
115.14,-45,82.42,0.0021,-0.0054,0.0059,
