freq,dbfs,dbspl,rms,min_amp,max_amp,tag
230.29,-48,79.5,0.0015,-0.0041,0.0041,
506.9,-44,82.42,0.0021,-0.0034,0.0066,
115.14,-45,82.42,0.0021,-0.0056,0.0056,
506.9,-47,80.06,0.0016,-0.0039,0.0044,
230.29,-43,83.21,0.0023,-0.0067,0.0059,
501.14,-45,81.55,0.0019,-0.0033,0.0057,
288.24,-46,82.0,0.002,-0.0043,0.0051,
278.23,-43,82.42,0.0021,-0.0072,0.0047,
115.14,-42,82.42,0.0021,-0.0078,0.0056,
115.14,-46,81.55,0.0019,-0.0051,0.0046,
115.14,-47,80.59,0.0017,-0.0045,0.0046,
506.9,-46,81.55,0.0019,-0.0052,0.0029,
235.83,-44,82.83,0.0022,-0.0049,0.0061,
155.28,-44,82.0,0.002,-0.0049,0.0062,
115.14,-48,80.06,0.0016,-0.0039,0.0041,
506.9,-46,80.59,0.0017,-0.0048,0.003,
345.43,-45,82.0,0.002,-0.0054,0.0045,
176.4,-43,83.94,0.0025,-0.0051,0.0068,
345.43,-45,80.59,0.0017,-0.0056,0.0047,
506.9,-47,79.5,0.0015,-0.0044,0.0025,
230.29,-47,79.5,0.0015,-0.0031,0.0047,
1002.27,-49,78.9,0.0014,-0.0035,0.0035,
406.45,-49,78.26,0.0013,-0.0035,0.0035,
115.14,-46,80.59,0.0017,-0.0042,0.0051,
115.14,-45,81.08,0.0018,-0.0056,0.0047,
501.14,-48,81.08,0.0018,-0.0041,0.0032,
153.66,-44,82.83,0.0022,-0.0066,0.0062,
239.67,-46,83.21,0.0023,-0.0046,0.005,
115.14,-46,81.55,0.0019,-0.0048,0.0049,
115.14,-46,81.55,0.0019,-0.0041,0.005,
137.81,-46,81.08,0.0018,-0.0052,0.0047,
230.29,-46,80.06,0.0016,-0.0052,0.0045,
115.14,-44,83.21,0.0023,-0.0052,0.0066,
506.9,-44,82.0,0.002,-0.0061,0.0046,
230.29,-45,82.42,0.0021,-0.0058,0.0052,
506.9,-44,85.81,0.0031,-0.0054,0.0061,
115.14,-44,83.94,0.0025,-0.0058,0.0064,
506.9,-50,78.9,0.0014,-0.0033,0.0033,
115.14,-45,82.83,0.0022,-0.0054,0.0056,
345.43,-44,82.83,0.0022,-0.006,0.0062,
506.9,-47,80.59,0.0017,-0.0042,0.0042,
115.14,-45,82.0,0.002,-0.0052,0.0055,
11025.0,-58,75.06,0.0009,-0.0012,0.0012,
115.14,-45,81.55,0.0019,-0.0054,0.0055,
230.29,-45,81.55,0.0019,-0.0055,0.0056,
115.14,-46,80.59,0.0017,-0.0048,0.0042,
115.14,-45,82.0,0.002,-0.0058,0.0053,
115.14,-47,81.55,0.0019,-0.0045,0.0044,
506.9,-48,80.59,0.0017,-0.0034,0.0042,
115.14,-44,83.94,0.0025,-0.0064,0.0065,
115.14,-43,84.61,0.0027,-0.0056,0.0071,
115.14,-44,82.42,0.0021,-0.0064,0.005,
